,input,output
444,\hey hey werethe monkeespeople say we monkeyaround howdy gorgeous,human
445,"sorry, my battery died, i can come by but i'm only getting a gram for now, where's your place",human
446,"well done, blimey, exercise, yeah, i kinda remember wot that is, hmm",human
447,i wont get concentration dear you know you are my mind and everything,human
448,lol have you made plans for new years,human
449,  min later k,human
450,hanks lotsly,human
451,thanks for this hope you had a good day today,human
452,k k what are detail you want to transfer acc no enough,human
453,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,human
454,"loan for any purpose å£  å£ ,  homeowners tenants welcome have you been previously refused we can still help call free     or text back 'help'",spam
455,si si i think ill go make those oreo truffles,human
456,"look at amy ure a beautiful, intelligent woman and i like u a lot i know u donåõt like me like that so donåõt worry",human
457,i hope you that's the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl,human
458,"    that call cost which i guess isnt bad miss ya, need ya, want ya, love ya",human
459,going thru a very different feeling wavering decisions and coping up with the same is the same individual time will heal everything i believe,human
460,where did u go my phone is gonna die you have to stay in here,human
461,great never been better each day gives even more reasons to thank god,human
462,"upgrdcentre orange customer, you may now claim your free camera phone upgrade for your loyalty call now on       offer ends  th july t c's apply opt out available",spam
463,"sorry, i'll call later ok bye",human
464,ok i am on the way to railway,human
465,great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love lt gt times per night,human
466,they don't put that stuff on the roads to keep it from getting slippery over there,human
467,when are you going to ride your bike,human
468,"yup, no need i'll jus wait   e rain   stop",human
469,there are many company tell me the language,human
470,okmail dear dave this is your final notice to collect your   tenerife holiday or   cash award call   from landline tcs sae box  cw wx  ppm,spam
471,"how long has it been since you screamed, princess",human
472,"nothing i meant that once the money enters your account here, the bank will remove its flat rate someone transfered lt gt to my account and lt gt dollars got removed so the banks differ and charges also differ be sure you trust the  ja person you are sending account details to cos",human
473,want   get laid tonight want real dogging locations sent direct   ur mob join the uk's largest dogging network by txting moan to  nyt ec a  p msg  p,spam
474,nice line said by a broken heart plz don't cum   more times infront of me other wise once again i ll trust u good  t,human
475,ok i'm gonna head up to usf in like fifteen minutes,human
476,love you aathi love u lot,human
477,tension ah what machi any problem,human
478,"k, can i pick up another  th when you're done",human
479,when're you guys getting back g said you were thinking about not staying for mcr,human
480,"almost there, see u in a sec",human
481,"yo carlos, a few friends are already asking me about you, you working at all this weekend",human
482,watching tv lor,human
483,thank you baby i cant wait to taste the real thing,human
484,you should change your fb to jaykwon thuglyfe falconerf,human
485,if we win its really no   side for long time,human
486,"free message activate your   free text messages by replying to this message with the word free for terms conditions, visit www   com",spam
487,dear reached railway what happen to you,human
488,"depends on quality if you want the type i sent boye, faded glory, then about   if you want ralphs maybe  ",human
489,i think i've fixed it can you send a test message,human
490,"sorry man my account's dry or i would, if you want we could trade back half or i could buy some shit with my credit card",human
491,"congrats   year special cinema pass for   is yours call   now c suprman v, matrix , starwars , etc all   free bx  ip   we  pm dont miss out",spam
492,"sorry,in meeting i'll call later",human
493,what class of lt gt reunion,human
494,are you free now can i call now,human
495,got meh when,human
496,nope think i will go for it on monday sorry i replied so late,human
497,some of them told accenture is not confirm is it true,human
498,"kate jackson rec center before  ish, right",human
499,dear i have reache room,human
500,"fighting with the world is easy, u either win or lose bt fightng with some  who is close to u is dificult if u lose u lose if u win u still lose",human
501,when can ì_ come out,human
502,check with nuerologist,human
503,lolnice i went from a fish to water,human
504,  congratulations in this week's competition draw u have won the å£  prize to claim just call   b  t cs stop sms   over   only  ppm,spam
505,no it's waiting in e car dat's bored wat cos wait outside got nothing   do at home can do my stuff or watch tv wat,human
506,"maybe westshore or hyde park village, the place near my house",human
